id;distance;journey_duration;actual_departure_time;planned_departure_time;actual_arrival_time;planned_arrival_time;ticket_price;number_of_stops;time_of_stops;minutes_late
1;13739;38594;2023-05-08T22:01:35;2023-05-08T23:05:08;2023-05-09T12:56:35;2023-05-09T00:41:47;31951;23853;3695;87331
2;3668;30075;2023-05-09T00:25:19;2023-05-09T04:57:02;2023-05-08T20:49:00;2023-05-09T14:31:15;10579;67700;37574;11796
3;90936;85483;2023-05-09T02:26:02;2023-05-09T07:53:04;2023-05-09T00:04:01;2023-05-09T15:57:24;13164;61076;89853;66296
4;86894;49108;2023-05-09T05:24:13;2023-05-09T01:01:19;2023-05-09T14:07:45;2023-05-08T18:23:45;78346;14837;58620;11954
5;36562;80154;2023-05-09T03:47:16;2023-05-09T01:00:28;2023-05-08T22:47:34;2023-05-08T21:51:34;5191;33447;865;11718
6;25758;1294;2023-05-09T00:22:49;2023-05-09T12:30:58;2023-05-09T08:00:44;2023-05-08T19:06:01;8146;91780;28504;91101
7;64147;64601;2023-05-09T11:19:02;2023-05-08T21:30:25;2023-05-09T06:04:14;2023-05-09T16:19:19;32244;81126;94063;52252
8;37557;41697;2023-05-09T02:41:13;2023-05-09T16:05:11;2023-05-09T10:36:04;2023-05-09T03:44:12;29193;49617;92264;98706
9;66750;45419;2023-05-09T10:11:14;2023-05-09T06:06:56;2023-05-09T00:12:35;2023-05-09T10:27:45;18542;30868;55856;49580
10;98144;75109;2023-05-08T21:15:04;2023-05-09T04:31:28;2023-05-08T23:42:16;2023-05-08T20:39:52;21443;770;19009;1941
